q_id,exam_id,match_type
0,0,year_based
0,0,year_based
1,0,year_based
1,0,year_based
2,0,year_based
3,0,year_based
4,0,year_based
5,0,year_based
6,0,year_based
7,0,year_based
8,7,year_based
9,8,year_based
10,34,year_based
11,34,year_based
12,34,year_based
13,11,year_based
14,12,year_based
15,12,year_based
16,41,year_based
16,41,year_based
18,17,year_based
19,18,year_based
21,53,year_based
21,53,year_based
22,19,year_based
25,60,year_based
26,21,year_based
27,62,year_based
27,62,year_based
28,22,year_based
29,65,year_based
30,69,year_based
32,70,year_based
33,71,year_based
34,72,year_based
35,72,year_based
36,111,year_based
37,76,year_based
38,113,year_based
39,113,year_based
40,113,year_based
41,116,year_based
42,78,year_based
43,118,year_based
44,121,year_based
45,80,year_based
46,80,year_based
47,124,year_based
48,82,year_based
49,82,year_based
50,127,year_based
50,127,year_based
51,127,year_based
52,127,year_based
53,127,year_based
55,84,year_based
55,84,year_based
56,84,year_based
57,86,year_based
57,86,year_based
58,86,year_based
58,86,year_based
59,137,year_based
60,138,year_based
61,88,year_based
62,90,year_based
63,141,year_based
64,142,year_based
65,92,year_based
66,92,year_based
67,146,year_based
68,146,year_based
69,147,year_based
70,147,year_based
71,147,year_based
72,94,year_based
73,151,year_based
74,152,year_based
75,152,year_based
76,96,year_based
77,96,year_based
78,155,year_based
79,155,year_based
80,98,year_based
81,158,year_based
82,159,year_based
83,100,year_based
84,161,year_based
85,162,year_based
86,102,year_based
87,165,year_based
96,190,year_based
114,283,year_based
118,295,year_based
130,318,year_based
133,322,year_based
143,346,year_based
144,346,year_based
145,348,year_based
146,349,year_based
146,356,year_based
146,368,year_based
146,375,year_based
146,375,year_based
146,416,year_based
146,417,year_based
146,442,year_based
146,446,year_based
146,452,year_based
146,489,year_based
146,500,year_based
146,511,year_based
146,519,year_based
146,525,year_based
146,529,year_based
146,536,year_based
146,544,year_based
146,577,year_based
146,583,year_based
146,669,year_based
146,708,year_based
147,349,year_based
148,349,year_based
149,349,year_based
150,353,year_based
151,361,year_based
152,361,year_based
153,363,year_based
154,363,year_based
155,363,year_based
156,363,year_based
157,363,year_based
158,368,year_based
159,368,year_based
160,385,year_based
161,392,year_based
162,392,year_based
163,410,year_based
164,417,year_based
165,423,year_based
166,423,year_based
167,431,year_based
168,436,year_based
169,442,year_based
170,442,year_based
171,445,year_based
172,446,year_based
173,446,year_based
174,449,year_based
175,452,year_based
176,452,year_based
177,452,year_based
178,452,year_based
179,452,year_based
180,452,year_based
181,452,year_based
182,466,year_based
183,466,year_based
184,469,year_based
185,469,year_based
186,469,year_based
187,469,year_based
188,477,year_based
189,477,year_based
190,477,year_based
191,480,year_based
192,480,year_based
193,482,year_based
194,482,year_based
195,482,year_based
196,482,year_based
197,482,year_based
198,489,year_based
199,499,year_based
200,500,year_based
201,506,year_based
202,508,year_based
203,508,year_based
204,510,year_based
205,511,year_based
206,518,year_based
207,519,year_based
208,519,year_based
209,519,year_based
210,519,year_based
211,526,year_based
212,529,year_based
213,529,year_based
214,536,year_based
215,536,year_based
216,536,year_based
217,536,year_based
218,536,year_based
219,536,year_based
220,536,year_based
221,536,year_based
222,542,year_based
223,549,year_based
224,549,year_based
225,549,year_based
226,549,year_based
227,549,year_based
228,549,year_based
229,549,year_based
230,549,year_based
231,549,year_based
232,549,year_based
233,549,year_based
234,559,year_based
235,559,year_based
236,559,year_based
237,559,year_based
238,559,year_based
239,559,year_based
240,559,year_based
241,559,year_based
242,564,year_based
243,568,year_based
244,568,year_based
245,574,year_based
246,575,year_based
247,575,year_based
248,577,year_based
249,583,year_based
250,583,year_based
251,583,year_based
252,583,year_based
253,583,year_based
254,583,year_based
255,583,year_based
256,583,year_based
257,583,year_based
258,583,year_based
259,583,year_based
260,583,year_based
261,583,year_based
262,583,year_based
262,816,year_based
263,583,year_based
264,583,year_based
265,583,year_based
266,595,year_based
267,595,year_based
268,601,year_based
269,601,year_based
270,601,year_based
271,601,year_based
272,601,year_based
273,601,year_based
274,601,year_based
275,601,year_based
276,601,year_based
277,604,year_based
278,606,year_based
279,606,year_based
280,606,year_based
281,609,year_based
282,609,year_based
283,609,year_based
284,609,year_based
285,609,year_based
286,609,year_based
287,609,year_based
288,609,year_based
289,609,year_based
289,609,year_based
290,617,year_based
291,617,year_based
292,619,year_based
293,619,year_based
294,619,year_based
295,619,year_based
296,619,year_based
297,619,year_based
298,619,year_based
299,619,year_based
300,619,year_based
301,619,year_based
302,619,year_based
303,627,year_based
304,628,year_based
305,631,year_based
306,631,year_based
307,631,year_based
308,631,year_based
309,631,year_based
310,631,year_based
311,631,year_based
312,631,year_based
313,631,year_based
314,631,year_based
315,635,year_based
316,635,year_based
317,635,year_based
318,635,year_based
319,635,year_based
320,635,year_based
321,635,year_based
322,635,year_based
323,635,year_based
324,635,year_based
325,635,year_based
326,635,year_based
327,635,year_based
328,635,year_based
329,635,year_based
330,635,year_based
331,635,year_based
332,635,year_based
333,645,year_based
334,648,year_based
335,648,year_based
336,648,year_based
337,648,year_based
338,648,year_based
339,648,year_based
340,648,year_based
341,648,year_based
342,651,year_based
343,651,year_based
344,653,year_based
345,653,year_based
346,653,year_based
347,660,year_based
348,660,year_based
349,663,year_based
350,663,year_based
351,663,year_based
352,663,year_based
353,663,year_based
354,663,year_based
355,663,year_based
356,663,year_based
357,663,year_based
358,669,year_based
359,669,year_based
359,675,year_based
360,669,year_based
360,675,year_based
361,669,year_based
361,675,year_based
362,669,year_based
362,675,year_based
363,669,year_based
363,675,year_based
364,669,year_based
364,675,year_based
365,669,year_based
365,675,year_based
366,669,year_based
366,675,year_based
367,675,year_based
368,680,year_based
369,680,year_based
370,680,year_based
371,680,year_based
372,680,year_based
373,680,year_based
374,680,year_based
375,680,year_based
376,680,year_based
377,680,year_based
378,686,year_based
379,686,year_based
380,686,year_based
381,686,year_based
381,901,year_based
382,686,year_based
383,691,year_based
384,691,year_based
385,691,year_based
386,691,year_based
387,691,year_based
388,691,year_based
389,691,year_based
390,691,year_based
391,691,year_based
392,697,year_based
393,697,year_based
394,697,year_based
395,697,year_based
396,697,year_based
397,697,year_based
398,697,year_based
399,697,year_based
400,697,year_based
401,697,year_based
402,697,year_based
403,708,year_based
404,708,year_based
405,708,year_based
406,708,year_based
407,708,year_based
407,1263,year_based
408,708,year_based
409,708,year_based
410,708,year_based
411,708,year_based
412,712,year_based
413,712,year_based
414,712,year_based
415,712,year_based
416,712,year_based
417,712,year_based
418,712,year_based
419,712,year_based
420,712,year_based
421,718,year_based
422,721,year_based
423,721,year_based
424,721,year_based
425,721,year_based
426,721,year_based
427,721,year_based
428,721,year_based
429,721,year_based
430,721,year_based
431,721,year_based
432,726,year_based
433,726,year_based
434,726,year_based
435,729,year_based
436,729,year_based
437,729,year_based
438,729,year_based
439,732,year_based
440,732,year_based
441,732,year_based
442,736,year_based
443,736,year_based
444,738,year_based
445,738,year_based
446,740,year_based
447,740,year_based
448,740,year_based
449,740,year_based
450,740,year_based
451,740,year_based
452,740,year_based
453,740,year_based
454,740,year_based
455,740,year_based
456,740,year_based
457,740,year_based
458,740,year_based
459,740,year_based
460,740,year_based
461,740,year_based
462,740,year_based
463,740,year_based
464,740,year_based
465,740,year_based
466,740,year_based
467,740,year_based
468,740,year_based
469,740,year_based
470,740,year_based
471,752,year_based
472,753,year_based
473,753,year_based
474,753,year_based
475,753,year_based
476,753,year_based
477,753,year_based
478,753,year_based
479,753,year_based
480,753,year_based
481,753,year_based
482,753,year_based
483,753,year_based
484,753,year_based
485,753,year_based
486,764,year_based
487,764,year_based
488,764,year_based
489,764,year_based
490,768,year_based
491,768,year_based
492,768,year_based
493,768,year_based
494,768,year_based
495,768,year_based
496,768,year_based
497,768,year_based
498,768,year_based
499,768,year_based
500,768,year_based
501,768,year_based
502,768,year_based
503,768,year_based
504,768,year_based
505,768,year_based
506,768,year_based
507,768,year_based
508,768,year_based
509,768,year_based
510,768,year_based
511,768,year_based
512,768,year_based
513,768,year_based
514,768,year_based
515,768,year_based
516,780,year_based
517,781,year_based
518,781,year_based
519,781,year_based
520,781,year_based
521,781,year_based
522,781,year_based
523,787,year_based
524,787,year_based
525,787,year_based
526,787,year_based
527,787,year_based
528,787,year_based
529,787,year_based
530,787,year_based
531,787,year_based
532,787,year_based
533,791,year_based
534,792,year_based
535,792,year_based
536,792,year_based
537,792,year_based
538,792,year_based
539,792,year_based
540,792,year_based
541,792,year_based
542,792,year_based
543,792,year_based
544,792,year_based
545,792,year_based
546,792,year_based
547,792,year_based
548,792,year_based
549,803,year_based
550,803,year_based
551,803,year_based
552,803,year_based
553,803,year_based
554,803,year_based
555,803,year_based
556,807,year_based
557,808,year_based
558,808,year_based
559,808,year_based
560,808,year_based
561,808,year_based
562,808,year_based
563,808,year_based
564,808,year_based
565,808,year_based
566,808,year_based
567,808,year_based
568,808,year_based
569,808,year_based
570,808,year_based
571,808,year_based
572,808,year_based
573,808,year_based
574,808,year_based
575,816,year_based
576,816,year_based
577,816,year_based
578,816,year_based
579,816,year_based
580,816,year_based
581,816,year_based
582,816,year_based
583,816,year_based
584,816,year_based
585,816,year_based
586,816,year_based
587,816,year_based
588,816,year_based
589,816,year_based
590,816,year_based
591,816,year_based
592,816,year_based
593,816,year_based
594,816,year_based
595,816,year_based
596,826,year_based
597,826,year_based
598,826,year_based
599,826,year_based
600,826,year_based
601,826,year_based
602,826,year_based
603,826,year_based
604,826,year_based
605,826,year_based
606,826,year_based
607,826,year_based
608,833,year_based
608,833,year_based
608,833,year_based
608,833,year_based
609,833,year_based
609,833,year_based
609,833,year_based
609,833,year_based
